Fayl      : dataset/River/River_1.tif
Strategiya: bm3d
Kanallar  : 13

   kanal          turi      sigma*           usul      AQI
      B1           n/a    0.000026           bm3d        -
      B2           n/a    0.000985           bm3d        -
      B3           n/a    0.001058           bm3d        -
      B4           n/a    0.001389           bm3d        -
      B5           n/a    0.000040           bm3d        -
      B6           n/a    0.000054           bm3d        -
      B7           n/a    0.000058           bm3d        -
      B8           n/a    0.002928           bm3d        -
     B8A           n/a    0.000026           bm3d        -
      B9           n/a    0.000013           bm3d        -
     B10           n/a    0.000037           bm3d        -
     B11           n/a    0.000037           bm3d        -
     B12           n/a    0.000065           bm3d        -
