Fayl      : dataset/Industrial/Industrial_1.tif
Strategiya: bm3d
Kanallar  : 13

   kanal          turi      sigma*           usul      AQI
      B1           n/a    0.000029           bm3d        -
      B2           n/a    0.003149           bm3d        -
      B3           n/a    0.004152           bm3d        -
      B4           n/a    0.005036           bm3d        -
      B5           n/a    0.000056           bm3d        -
      B6           n/a    0.000065           bm3d        -
      B7           n/a    0.000075           bm3d        -
      B8           n/a    0.007613           bm3d        -
     B8A           n/a    0.000026           bm3d        -
      B9           n/a    0.000014           bm3d        -
     B10           n/a    0.000043           bm3d        -
     B11           n/a    0.000041           bm3d        -
     B12           n/a    0.000071           bm3d        -
