Fayl      : dataset/Residential/Residential_3.tif
Strategiya: bm3d
Kanallar  : 13

   kanal          turi      sigma*           usul      AQI
      B1           n/a    0.000025           bm3d        -
      B2           n/a    0.005272           bm3d        -
      B3           n/a    0.005826           bm3d        -
      B4           n/a    0.007476           bm3d        -
      B5           n/a    0.000121           bm3d        -
      B6           n/a    0.000166           bm3d        -
      B7           n/a    0.000203           bm3d        -
      B8           n/a    0.011801           bm3d        -
     B8A           n/a    0.000025           bm3d        -
      B9           n/a    0.000006           bm3d        -
     B10           n/a    0.000071           bm3d        -
     B11           n/a    0.000083           bm3d        -
     B12           n/a    0.000240           bm3d        -
