Fayl      : dataset/AnnualCrop/AnnualCrop_2.tif
Strategiya: bm3d
Kanallar  : 13

   kanal          turi      sigma*           usul      AQI
      B1           n/a    0.000024           bm3d        -
      B2           n/a    0.000565           bm3d        -
      B3           n/a    0.000543           bm3d        -
      B4           n/a    0.000537           bm3d        -
      B5           n/a    0.000028           bm3d        -
      B6           n/a    0.000034           bm3d        -
      B7           n/a    0.000033           bm3d        -
      B8           n/a    0.002433           bm3d        -
     B8A           n/a    0.000028           bm3d        -
      B9           n/a    0.000014           bm3d        -
     B10           n/a    0.000029           bm3d        -
     B11           n/a    0.000029           bm3d        -
     B12           n/a    0.000032           bm3d        -
