Fayl      : dataset/Pasture/Pasture_2.tif
Strategiya: bm3d
Kanallar  : 13

   kanal          turi      sigma*           usul      AQI
      B1           n/a    0.000027           bm3d        -
      B2           n/a    0.000802           bm3d        -
      B3           n/a    0.001109           bm3d        -
      B4           n/a    0.000982           bm3d        -
      B5           n/a    0.000036           bm3d        -
      B6           n/a    0.000069           bm3d        -
      B7           n/a    0.000086           bm3d        -
      B8           n/a    0.007654           bm3d        -
     B8A           n/a    0.000027           bm3d        -
      B9           n/a    0.000011           bm3d        -
     B10           n/a    0.000035           bm3d        -
     B11           n/a    0.000033           bm3d        -
     B12           n/a    0.000095           bm3d        -
