Fayl      : dataset/Highway/Highway_2.tif
Strategiya: bm3d
Kanallar  : 13

   kanal          turi      sigma*           usul      AQI
      B1           n/a    0.000026           bm3d        -
      B2           n/a    0.002030           bm3d        -
      B3           n/a    0.002220           bm3d        -
      B4           n/a    0.002957           bm3d        -
      B5           n/a    0.000070           bm3d        -
      B6           n/a    0.000116           bm3d        -
      B7           n/a    0.000145           bm3d        -
      B8           n/a    0.007644           bm3d        -
     B8A           n/a    0.000027           bm3d        -
      B9           n/a    0.000010           bm3d        -
     B10           n/a    0.000054           bm3d        -
     B11           n/a    0.000050           bm3d        -
     B12           n/a    0.000148           bm3d        -
