Fayl      : dataset/River/River_2.tif
Strategiya: bm3d
Kanallar  : 13

   kanal          turi      sigma*           usul      AQI
      B1           n/a    0.000025           bm3d        -
      B2           n/a    0.000931           bm3d        -
      B3           n/a    0.001033           bm3d        -
      B4           n/a    0.001026           bm3d        -
      B5           n/a    0.000035           bm3d        -
      B6           n/a    0.000048           bm3d        -
      B7           n/a    0.000054           bm3d        -
      B8           n/a    0.003339           bm3d        -
     B8A           n/a    0.000026           bm3d        -
      B9           n/a    0.000007           bm3d        -
     B10           n/a    0.000038           bm3d        -
     B11           n/a    0.000035           bm3d        -
     B12           n/a    0.000052           bm3d        -
